,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
1683,SHREECEM,SHREE CEMENT LIMITED,EQ,26-APR-1995,10,1,INE070A01015,10
1684,SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,EQ,10-SEP-2015,10,1,INE712K01011,10
1685,SHREERAMA,Shree Rama Multi-Tech Limited,BE,13-MAR-2000,5,1,INE879A01019,5
1686,SHRENIK,Shrenik Limited,EQ,02-AUG-2019,1,1,INE632X01030,1
1687,SHREYANIND,Shreyans Industries Limited,EQ,06-NOV-1996,10,1,INE231C01019,10
1688,SHRIPISTON,Shriram Pistons & Rings Limited,EQ,02-JUN-2016,10,1,INE526E01018,10
1689,SHRIRAMFIN,Shriram Finance Limited,EQ,11-DEC-1996,2,1,INE721A01047,2
1690,SHRIRAMPPS,Shriram Properties Limited,EQ,20-DEC-2021,10,1,INE217L01019,10
1691,SHYAMCENT,Shyam Century Ferrous Limited,BE,28-JUL-2015,1,1,INE979R01011,1
1692,SHYAMMETL,Shyam Metalics and Energy Limited,EQ,24-JUN-2021,10,1,INE810G01011,10
1693,SHYAMTEL,Shyam Telecom Limited,BE,06-NOV-2006,10,1,INE635A01023,10
1694,SICALLOG,Sical Logistics Limited,BE,12-OCT-2023,10,1,INE075B01020,10
1695,SIEMENS,Siemens Limited,EQ,06-SEP-1995,2,1,INE003A01024,2
1696,SIGACHI,Sigachi Industries Limited,EQ,15-NOV-2021,1,1,INE0D0K01022,1
1697,SIGIND,Signet Industries Limited,EQ,29-AUG-2018,10,1,INE529F01035,10
1698,SIGMA,Sigma Solve Limited,EQ,09-JUN-2023,10,1,INE0A0S01010,10
1699,SIGNATURE,Signatureglobal (India) Limited,EQ,27-SEP-2023,1,1,INE903U01023,1
1700,SIGNPOST,Signpost India Limited,BE,14-FEB-2024,2,1,INE0KGZ01021,2
1701,SIKKO,Sikko Industries Limited,EQ,22-OCT-2021,10,1,INE112X01017,10
1702,SIL,Standard Industries Limited,EQ,27-JAN-2004,5,1,INE173A01025,5
1703,SILGO,Silgo Retail Limited,EQ,03-MAR-2021,10,1,INE01II01013,10
1704,SILINV,SIL Investments Limited,EQ,22-MAY-1996,10,1,INE923A01015,10
1705,SILLYMONKS,Silly Monks Entertainment Limited,EQ,08-JUL-2020,10,1,INE203Y01012,10
1706,SILVERTUC,Silver Touch Technologies Limited,EQ,12-MAY-2022,10,1,INE625X01018,10
1707,SIMBHALS,Simbhaoli Sugars Limited,BE,14-MAR-2016,10,1,INE748T01016,10
1708,SIMPLEXINF,Simplex Infrastructures Limited,EQ,09-MAR-2004,2,1,INE059B01024,2
1709,SINCLAIR,Sinclairs Hotels Limited,EQ,10-APR-2024,2,1,INE985A01022,2
1710,SINDHUTRAD,Sindhu Trade Links Limited,EQ,20-JUN-2023,1,1,INE325D01025,1
1711,SINTERCOM,Sintercom India Limited,EQ,07-OCT-2020,10,1,INE129Z01016,10
1712,SIRCA,Sirca Paints India Limited,EQ,22-JUL-2019,10,1,INE792Z01011,10
1713,SIS,SIS LIMITED,EQ,10-AUG-2017,5,1,INE285J01028,5
1714,SITINET,Siti Networks Limited,BZ,10-JAN-2007,1,1,INE965H01011,1
1715,SIYSIL,Siyaram Silk Mills Limited,EQ,29-JAN-2007,2,1,INE076B01028,2
1716,SJS,S.J.S. Enterprises Limited,EQ,15-NOV-2021,10,1,INE284S01014,10
1717,SJVN,SJVN Limited,EQ,20-MAY-2010,10,1,INE002L01015,10
1718,SKFINDIA,SKF India Limited,EQ,27-JAN-1999,10,1,INE640A01023,10
1719,SKIPPER,Skipper Limited,EQ,27-MAY-2015,1,1,INE439E01022,1
1720,SKMEGGPROD,SKM Egg Products Export (India) Limited,EQ,14-MAR-1997,10,1,INE411D01015,10
1721,SKYGOLD,Sky Gold Limited,BE,06-JAN-2023,10,1,INE01IU01018,10
1722,SMARTLINK,Smartlink Holdings Limited,EQ,11-APR-2001,2,1,INE178C01020,2
1723,SMCGLOBAL,SMC Global Securities Limited,EQ,24-FEB-2021,2,1,INE103C01036,2
1724,SMLISUZU,SML Isuzu Limited,EQ,29-AUG-2003,10,1,INE294B01019,10
1725,SMLT,Sarthak Metals Limited,EQ,25-NOV-2021,10,1,INE017W01010,10
1726,SMSLIFE,SMS Lifesciences India Limited,EQ,17-AUG-2017,10,1,INE320X01016,10
1727,SMSPHARMA,SMS Pharmaceuticals Limited,EQ,28-FEB-2007,1,1,INE812G01025,1
1728,SNOWMAN,Snowman Logistics Limited,EQ,12-SEP-2014,10,1,INE734N01019,10
1729,SOBHA,Sobha Limited,EQ,20-DEC-2006,10,1,INE671H01015,10
1730,SOFTTECH,Softtech Engineers Limited,BE,25-FEB-2022,10,1,INE728Z01015,10
1731,SOLARA,Solara Active Pharma Sciences Limited,EQ,27-JUN-2018,10,1,INE624Z01016,10
1732,SOLARINDS,Solar Industries India Limited,EQ,03-APR-2006,2,1,INE343H01029,2
1733,SOMANYCERA,Somany Ceramics Limited,EQ,22-NOV-1995,2,1,INE355A01028,2
1734,SOMATEX,Soma Textiles & Industries Limited,EQ,14-AUG-1996,10,1,INE314C01013,10
1735,SOMICONVEY,Somi Conveyor Beltings Limited,EQ,18-JUL-2016,10,1,INE323J01019,10
1736,SONACOMS,Sona BLW Precision Forgings Limited,EQ,24-JUN-2021,10,1,INE073K01018,10
1737,SONAMLTD,SONAM LIMITED,EQ,07-APR-2022,5,1,INE00LM01029,5
1738,SONATSOFTW,Sonata Software Limited,EQ,28-JUL-1999,1,1,INE269A01021,1
1739,SOTL,Savita Oil Technologies Limited,EQ,28-JUN-1995,2,1,INE035D01020,2
1740,SOUTHBANK,The South Indian Bank Limited,EQ,08-DEC-1998,1,1,INE683A01023,1
1741,SOUTHWEST,South West Pinnacle Exploration Limited,EQ,18-APR-2019,10,1,INE980Y01015,10
1742,SPAL,S. P. Apparels Limited,EQ,12-AUG-2016,10,1,INE212I01016,10
1743,SPANDANA,Spandana Sphoorty Financial Limited,EQ,19-AUG-2019,10,1,INE572J01011,10
1744,SPARC,Sun Pharma Advanced Research Company Limited,EQ,18-JUL-2007,1,1,INE232I01014,1
1745,SPCENET,Spacenet Enterprises India Limited,BE,10-JAN-2017,1,1,INE970N01027,1
